Stone_ULA_Magic_Front: .word 16, 48
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,223,223,199,234,199,199,234,199,199,199,199,
199,199,199,199,223,223,223,223,234,199,199,234,199,207,207,199,
199,199,199,234,234,223,223,234,234,199,234,234,199,199,199,199,
199,199,199,234,234,234,223,234,234,207,234,234,199,199,199,199,
199,199,199,199,199,199,223,223,223,207,207,199,199,199,199,199,
199,207,199,199,199,199,223,223,223,223,207,234,199,234,199,199,
199,207,207,234,199,199,199,199,223,207,207,199,234,199,199,199,
199,199,234,234,234,199,199,199,223,207,223,234,199,234,199,199,
199,199,199,234,199,199,199,199,207,223,199,199,199,199,199,199,
199,199,199,199,199,223,207,207,207,223,199,199,199,199,234,199,
199,199,234,234,199,234,207,207,234,223,199,199,199,234,199,199,
199,199,234,199,199,234,207,207,234,234,199,199,234,199,199,199,
199,199,199,234,199,223,234,223,234,223,199,199,199,199,199,199,
199,199,234,234,199,199,199,199,199,234,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,234,199,199,199,199,199,199,199,199,199,199,199,199,
199,207,199,234,199,199,223,223,234,199,199,234,234,207,207,199,
199,207,199,234,234,223,223,234,234,234,199,234,199,199,207,199,
199,199,199,234,234,223,223,207,234,199,199,199,234,199,199,199,
199,199,199,199,199,223,207,207,199,199,199,234,234,199,199,199,
199,199,234,234,199,223,207,207,199,199,199,199,199,234,199,199,
199,199,234,234,199,199,223,207,223,199,199,199,199,234,199,199,
199,199,199,199,199,199,234,207,234,199,199,199,199,234,199,199,
199,199,199,199,199,199,223,234,223,223,199,199,199,199,234,199,
199,234,234,199,199,223,234,207,234,223,199,199,234,199,199,199,
199,234,234,199,223,223,207,207,207,223,199,199,234,234,199,199,
199,199,234,199,223,223,207,207,207,223,199,199,234,199,199,199,
199,199,199,199,199,223,223,223,223,223,199,199,199,234,199,199,
199,199,199,199,199,234,234,234,223,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,234,199,223,223,223,199,199,199,199,
199,199,199,207,207,199,199,234,223,223,234,223,234,199,199,199,
199,199,199,199,234,199,234,234,223,207,207,234,199,199,199,199,
199,199,199,207,234,199,234,234,207,207,234,199,234,199,199,199,
199,199,199,234,234,199,199,223,207,223,223,199,199,199,207,199,
199,199,199,234,234,199,223,223,207,223,199,199,199,199,207,199,
199,199,199,207,207,199,223,234,234,234,199,199,199,207,199,199,
199,199,234,234,199,199,223,207,223,199,199,199,199,234,234,199,
199,199,234,234,234,199,223,207,223,223,199,199,199,234,234,199,
199,199,199,199,199,199,223,207,207,207,223,199,199,207,234,199,
199,199,199,199,199,199,223,207,207,234,223,234,234,199,234,199,
199,199,199,234,199,199,223,223,207,234,223,234,234,199,199,199,
199,199,234,234,234,199,199,223,223,234,234,199,199,199,199,199,
199,199,199,234,199,199,199,199,199,234,234,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


