Jungle_Door_H: .word 32, 24
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
97,97,189,97,97,189,189,97,189,189,189,189,189,97,97,189,189,189,189,189,189,189,189,189,189,97,97,97,189,189,189,189,
189,97,97,189,189,97,97,189,97,97,97,97,97,97,189,82,82,97,97,97,97,97,97,189,189,189,189,97,97,97,97,97,
97,97,97,97,189,189,189,97,189,189,189,97,97,189,189,97,97,189,189,189,189,189,97,97,97,97,97,189,189,189,189,189,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,
97,97,97,97,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,97,97,97,97,
89,89,89,97,97,97,97,97,97,89,89,89,89,89,89,82,82,89,89,89,89,89,89,97,97,97,97,97,97,89,89,89,
89,89,89,89,89,89,89,89,97,97,97,97,97,89,82,82,82,82,89,97,97,97,97,97,89,89,89,89,89,89,89,89,
97,89,89,89,89,89,89,89,89,89,89,89,89,89,89,82,82,89,89,89,89,89,89,89,89,89,89,89,89,89,97,97,
97,97,97,97,97,97,97,97,97,89,89,89,89,89,89,89,89,89,89,89,97,97,97,97,97,97,97,97,97,97,97,97,
89,89,89,89,89,89,89,89,89,89,89,97,97,97,97,97,89,97,97,97,89,89,89,89,89,89,89,89,89,89,89,89,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
189,97,97,189,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,189,189,189,189,
97,97,189,82,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,82,97,97,97,
97,189,189,97,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,97,189,189,189,
89,89,89,89,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,89,89,89,89,
89,89,89,89,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,89,89,89,89,
89,89,89,82,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,82,89,89,89,
97,89,82,82,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,82,82,89,97,
89,89,89,82,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,82,89,89,89,
89,89,89,89,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,89,89,89,89,
97,97,97,97,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,89,97,97,97,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


